"","MLUSE_old","MLUSE_new"
"1455","Other (before)","Single Family Residential Suburban (after)"
"1456","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"1457","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1458","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1459","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1460","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1461","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1462","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1463","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1464","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1465","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1466","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1467","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1468","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1469","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1470","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1471","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1472","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"1473","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1474","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1475","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1476","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1477","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1478","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1479","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1480","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1481","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1482","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1483","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1484","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1485","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1486","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1487","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1488","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1489","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1490","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1491","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1492","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1493","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1494","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1495","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1496","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1497","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"1498","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1499","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1500","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1501","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1502","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1503","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1504","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1505","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"1506","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"1507","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1508","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1509","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1510","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1511","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"1512","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1513","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"1514","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
