"","MLUSE_old","MLUSE_new"
"134","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"135","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"136","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"137","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"138","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"139","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"140","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"141","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"142","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"143","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"144","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"145","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"146","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"147","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"148","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"149","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"150","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"151","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"152","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"153","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"154","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"155","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"156","Other (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"157","Other (before)","Other (after)"
"158","Commerical / Industrial (before)","Single Family Residential Suburban (after)"
"159","Commerical / Industrial (before)","Undefined (after)"
"160","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"161","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"162","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"163","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"164","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"165","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"166","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"167","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"168","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"169","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"170","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"171","Single Family Residential Suburban (before)","Undefined (after)"
"172","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"173","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"174","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"175","Single Family Residential Suburban (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"176","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"177","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"178","Undefined (before)","Single Family Residential Suburban (after)"
"179","Undefined (before)","Single Family Residential Suburban (after)"
"180","Undefined (before)","Single Family Residential Suburban (after)"
"181","Undefined (before)","Single Family Residential Suburban (after)"
"182","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"183","Undefined (before)","Single Family Residential Suburban (after)"
"184","Undefined (before)","Single Family Residential Suburban (after)"
"185","Undefined (before)","Single Family Residential Suburban (after)"
"186","Undefined (before)","Single Family Residential Suburban (after)"
"187","Undefined (before)","Single Family Residential Suburban (after)"
"188","Undefined (before)","Single Family Residential Suburban (after)"
"189","Undefined (before)","Single Family Residential Suburban (after)"
"190","Undefined (before)","Single Family Residential Suburban (after)"
"191","Undefined (before)","Single Family Residential Suburban (after)"
"192","Undefined (before)","Single Family Residential Suburban (after)"
"193","Undefined (before)","Single Family Residential Suburban (after)"
"194","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"195","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"196","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"197","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"198","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"199","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"200","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"201","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"202","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"203","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"204","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"205","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"206","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"207","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"208","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"209","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"210","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"211","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"212","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"213","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"214","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"215","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"216","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"217","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"218","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"219","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"220","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"221","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"222","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"223","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"224","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"225","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"226","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"227","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"228","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"229","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"230","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"231","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"232","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"233","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"234","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"235","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"236","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"237","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"238","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"239","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"240","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"241","Agricultural / Undeveloped (20-99 Acres) (before)","Commerical / Industrial (after)"
"242","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"243","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"244","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"245","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"246","Undefined (before)","Single Family Residential Suburban (after)"
"247","Other (before)","Other (after)"
"248","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"249","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"250","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"251","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"252","Commerical / Industrial (before)","Commerical / Industrial (after)"
"253","Commerical / Industrial (before)","Commerical / Industrial (after)"
"254","Commerical / Industrial (before)","Single Family Residential Suburban (after)"
"255","Commerical / Industrial (before)","Other (after)"
"256","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"257","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"258","Commerical / Industrial (before)","Commerical / Industrial (after)"
"259","Commerical / Industrial (before)","Commerical / Industrial (after)"
"260","Undefined (before)","Single Family Residential Suburban (after)"
"261","Undefined (before)","Single Family Residential Suburban (after)"
"262","Undefined (before)","Single Family Residential Suburban (after)"
"263","Undefined (before)","Single Family Residential Suburban (after)"
"264","Undefined (before)","Single Family Residential Suburban (after)"
"265","Undefined (before)","Single Family Residential Suburban (after)"
"266","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"267","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"268","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"269","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"270","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"271","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"272","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"273","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"274","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"275","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"276","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"277","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"278","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"279","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"280","Undefined (before)","Undefined (after)"
"281","Commerical / Industrial (before)","Undefined (after)"
"282","Other (before)","Undefined (after)"
"283","Agricultural / Undeveloped (100+ Acres) (before)","Undefined (after)"
"284","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"285","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"286","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"287","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"288","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"289","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"290","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"291","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"292","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"293","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"294","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"295","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"296","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"297","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"298","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"299","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"300","Single Family Residential Suburban (before)","Undefined (after)"
"301","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"302","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"303","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"304","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"305","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"306","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"307","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"308","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"309","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"310","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"311","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"312","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"313","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"314","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"315","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"316","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"317","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"318","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"319","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"320","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"321","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"322","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"323","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"324","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"325","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"326","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"327","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"328","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"329","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"330","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"331","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"332","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"333","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"334","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"335","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"336","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"337","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"338","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"339","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"340","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"341","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"342","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"343","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"344","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"345","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"346","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"347","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"348","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"349","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"350","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"351","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"352","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"353","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"354","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"355","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"356","Undefined (before)","Single Family Residential Suburban (after)"
"357","Undefined (before)","Single Family Residential Suburban (after)"
"358","Undefined (before)","Single Family Residential Suburban (after)"
"359","Undefined (before)","Single Family Residential Suburban (after)"
"360","Undefined (before)","Single Family Residential Suburban (after)"
"361","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"362","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"363","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"364","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"365","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"366","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"367","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"368","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"369","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"370","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"371","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"372","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"373","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"374","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"375","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"376","Single Family Residential Suburban (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"377","Single Family Residential Suburban (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"378","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"379","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"380","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"381","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"382","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"383","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"384","Single Family Residential Suburban (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"385","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"386","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"387","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"388","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"389","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"390","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"391","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"392","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"393","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"394","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"395","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"396","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"397","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"398","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"399","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"400","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"401","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"402","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"403","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"404","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"405","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"406","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"407","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"408","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"409","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"410","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"411","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"412","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"413","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"414","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"415","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"416","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"417","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"418","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"419","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"420","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"421","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"422","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"423","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"424","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"425","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"426","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"427","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"428","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"429","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"430","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"431","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"432","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"433","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"434","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"435","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"436","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"437","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"438","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"439","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"440","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"441","Commerical / Industrial (before)","Commerical / Industrial (after)"
"442","Commerical / Industrial (before)","Commerical / Industrial (after)"
"443","Undefined (before)","Single Family Residential Suburban (after)"
"444","Undefined (before)","Single Family Residential Suburban (after)"
"445","Undefined (before)","Single Family Residential Suburban (after)"
"446","Undefined (before)","Single Family Residential Suburban (after)"
"447","Undefined (before)","Single Family Residential Suburban (after)"
"448","Undefined (before)","Single Family Residential Suburban (after)"
"449","Undefined (before)","Single Family Residential Suburban (after)"
"450","Undefined (before)","Single Family Residential Suburban (after)"
"451","Undefined (before)","Single Family Residential Suburban (after)"
"452","Undefined (before)","Single Family Residential Suburban (after)"
"453","Undefined (before)","Single Family Residential Suburban (after)"
"454","Undefined (before)","Single Family Residential Suburban (after)"
"455","Undefined (before)","Single Family Residential Suburban (after)"
"456","Undefined (before)","Single Family Residential Suburban (after)"
"457","Undefined (before)","Single Family Residential Suburban (after)"
"458","Undefined (before)","Single Family Residential Suburban (after)"
"459","Undefined (before)","Single Family Residential Suburban (after)"
"460","Undefined (before)","Single Family Residential Suburban (after)"
"461","Undefined (before)","Single Family Residential Suburban (after)"
"462","Undefined (before)","Single Family Residential Suburban (after)"
"463","Undefined (before)","Single Family Residential Suburban (after)"
"464","Undefined (before)","Single Family Residential Suburban (after)"
"465","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"466","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"467","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"468","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"469","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"470","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"471","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"472","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"473","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"474","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"475","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"476","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"477","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"478","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"479","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"480","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"481","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"482","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"483","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"484","Agricultural / Undeveloped (100+ Acres) (before)","Agricultural / Undeveloped (100+ Acres) (after)"
"485","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"486","Agricultural / Undeveloped (100+ Acres) (before)","Single Family Residential Suburban (after)"
"487","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"488","Single Family Residential Suburban (before)","Single Family Residential Suburban (after)"
"489","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"490","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"491","Agricultural / Undeveloped (20-99 Acres) (before)","Agricultural / Undeveloped (20-99 Acres) (after)"
"492","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
"493","Agricultural / Undeveloped (20-99 Acres) (before)","Single Family Residential Suburban (after)"
