"year","county","name","val2","value"
2019,"Goochland","Prof, scient, manage, & admin",13.1236442516269,"13"
2019,"Goochland","Ed svcs, hlth care, social asst",22.704266088214,"23"
2019,"Goochland","Arts, ent, rec, & accomod",6.11894432393348,"6"
2019,"Goochland","Oth svcs, except pub admin",4.35647143890094,"4"
2019,"Goochland","Public admin",5.67606652205351,"6"
2020,"Goochland","Ag, forest, fish, hunt, & mine",3.79965457685665,"4"
2020,"Goochland","Construction",8.49013726024907,"8"
2020,"Goochland","Manufacturing",5.57222070720844,"6"
2020,"Goochland","Wholesale",2.69975456776657,"3"
2020,"Goochland","Retail",13.2169802745205,"13"
2020,"Goochland","Transport, warehouse, & util",3.77238432869739,"4"
2020,"Goochland","Information",1.63621488955549,"2"
2020,"Goochland","Finan, insur, real estate & rent",8.95373147895646,"9"
2020,"Goochland","Prof, scient, manage, & admin",14.7986546677575,"15"
2020,"Goochland","Ed svcs, hlth care, social asst",22.0343605126807,"22"
2020,"Goochland","Arts, ent, rec, & accomod",5.73584219616399,"6"
2020,"Goochland","Oth svcs, except pub admin",5.05408599218253,"5"
2020,"Goochland","Public admin",4.23597854740478,"4"
